TWEETID,TWEET,TIMESTAMP,AUTHOR,LAT,LONG,URL,inlon,inlat,inokc
339208304242851000,RT @KeepItLocalOK: So impressed by all the folks who pulled this off! #okchefsrelief #OKC @ OK Chefs Relief Pop-Up‰Û_ http://t.co/1Z5AVW6P6H,5/28/13 2:35,Lynn_100302,35.4931,-97.4591,http://instagram.com/p/Z1U3G3hnwm/,TRUE,TRUE,TRUE
339215271912931000,RT @TaylorRice7: Adventures in Oklahoma with this one today! #PaulsValley #SmallTownAdventures arhebert http://t.co/KvS8uK1KkA,5/28/13 3:03,arhebert,35.4931,-97.4591,http://instagram.com/p/Z1V8VlFl5p/,TRUE,TRUE,TRUE
339160558328741000,RT @allyinwondrland: {...and I'm stuffed}  #okchefsrelief #bemoore #foodie #cheers @ Mission Chinese OKC Pop-Up http://t.co/Ztrg9dVWjU,5/27/13 23:25,OKChefsRelief,35.4931,-97.4591,http://instagram.com/p/Z1VBFIop6w/,TRUE,TRUE,TRUE
339165409645297000,Okc for ya! #Recoupin #therapy @ Deep Deuce District http://t.co/lbCVBZwWjA,5/27/13 23:45,sauvemente3,35.4695,-97.5075,http://instagram.com/p/Z1YONxtPnC/,TRUE,TRUE,TRUE
339165408533827000,I want... whatever these are in Oklahoma.\#prehistoricplant #austinvaca http://t.co/MnJT8TAMtb,5/27/13 23:45,dewbymaster,35.4931,-97.4591,http://instagram.com/p/Z1YUF8IXMe/,TRUE,TRUE,TRUE
339225274552025000,Oklahoma real estate inventory already low. Moore Tornado going lower it more #oklahoma #tornado‰Û_ http://t.co/F1F1kchwWO,5/28/13 3:43,ronnronnronn,35.4202,-97.4366,http://instagram.com/p/Z1zck4HpgY/,TRUE,TRUE,TRUE
339393623860842000,My handsome boy at the OKC Zoo this past Saturday. ???? http://t.co/VW22sQE4DW,5/28/13 14:52,TxGrl12,35.4931,-97.4591,http://instagram.com/p/Z2_3uBGwPj/,TRUE,TRUE,TRUE
339367602730196000,Core Sports Performance Institute's Summer Elite Performance Program #okc #edmondok #sports‰Û_ http://t.co/KyH0FQ2aSf,5/28/13 13:08,CORE_SPI,35.6532,-97.4815,http://instagram.com/p/Z20DxCRhkL/,TRUE,TRUE,TRUE
339368416425177000,Just posted a photo @ The Oklahoma City Zoo http://t.co/Gv8nfsG9mY,5/28/13 13:11,walrusmuse,35.5232,-97.4724,http://instagram.com/p/Z20v19jC73/,TRUE,TRUE,TRUE
339374310097563000,"Stopping in Moore, Oklahoma. Headed to Tennessee for the day but I'll be back to volunteer in Moore‰Û_ http://t.co/vnyw4u2tza",5/28/13 13:35,AugustaGolfGirl,35.3198,-97.4924,http://instagram.com/p/Z23UaWAPWP/,TRUE,TRUE,TRUE
339385469487943000,The Oklahoma sky is just magnificent ?? http://t.co/OV2oEgKEMz,5/28/13 14:19,LaciePanties13,35.1912,-97.4413,http://instagram.com/p/Z28XJuGSVN/,TRUE,TRUE,TRUE
339420129983074000,RT @ASM_SPORTS: @sergeibaka9 will be back in Moore Oklahoma today helping people put their lives back together.‰Û_ http://t.co/wUktcPSC4N,5/28/13 16:37,BurRenee,35.4641,-97.3709,http://instagram.com/p/Z290YtqcTC/,TRUE,TRUE,TRUE
339495094874943000,RT @ASM_SPORTS: @sergeibaka9 will be back in Moore Oklahoma today helping people put their lives back together.‰Û_ http://t.co/wUktcPSC4N,5/28/13 21:35,TeamOKCThunder,35.4931,-97.4591,http://instagram.com/p/Z290YtqcTC/,TRUE,TRUE,TRUE
339274595783823000,#TheUniversityofOklahoma #Oklahoma #Norman #university #union #1890 @ Oklahoma Memorial Union http://t.co/9b78K7Lj12,5/28/13 6:59,binhisham,35.2097,-97.4444,http://instagram.com/p/Z2J6UBAenF/,TRUE,TRUE,TRUE
339479343375978000,"Meet Phyllis @ Oklahoma City, OK http://t.co/eLxbySWm0f",5/28/13 20:32,StalkThePeacock,35.4714,-97.5188,http://instagram.com/p/Z2YqwTNsgK/,TRUE,TRUE,TRUE
339364863929380000,Good Morning. If you loathed that alarm this morning you are not alone. #sunrise #Oklahoma #landscape‰Û_ http://t.co/VW3sO852ZY,5/28/13 12:57,76scenic,35.5067,-97.7625,http://instagram.com/p/Z2yY-NKIOB/,TRUE,TRUE,TRUE
339509260004241000,Oklahoma is funny... http://t.co/Y8ULwQmGfQ,5/28/13 22:31,chrisbrister,35.1912,-97.4413,http://instagram.com/p/Z30mA0o7TR/,TRUE,TRUE,TRUE
339511039781650000,Only in Oklahoma. In the downstairs bathroom in my house new specifically. I took this picture while I‰Û_ http://t.co/6bYLfiOcK4,5/28/13 22:38,KelsiBSides,35.4931,-97.4591,http://instagram.com/p/Z31ep0QaDU/,TRUE,TRUE,TRUE
339510301013729000,"Driving through #Moore, Oklahoma. #tornado #destruction @ City of Moore http://t.co/noeKbVEHIK",5/28/13 22:35,IrishLaw11,35.3305,-97.4901,http://instagram.com/p/Z31JqtqeQl/,TRUE,TRUE,TRUE
339511734857519000,Only in Oklahoma. In the downstairs bathroom of my house more specifically. I took this picture while‰Û_ http://t.co/67nKBqDQUh,5/28/13 22:41,KelsiBSides,35.4931,-97.4591,http://instagram.com/p/Z31tSNQaDx/,TRUE,TRUE,TRUE
339510701607510000,#beeftenderloin #trufflepotatosalad #balsamicMarinatedFigs #nightlyfeatures #metrowinebarokc #okc‰Û_ http://t.co/oM7Qi4E1VF,5/28/13 22:37,jonasthachef,35.3956,-97.5969,http://instagram.com/p/Z31TY1sOUM/,TRUE,TRUE,TRUE
